HX711 calibration sketch
Remove all weight from scale
After readings begin, place known weight on scale
Press + or a to increase calibration factor
Press - or z to decrease calibration factor
Zero factor: 0
Reading: ,0.00, grams calibration_factor: ,2230.00
Reading: ,0.00, grams calibration_factor: ,2230.00
Reading: ,0.00, grams calibration_factor: ,2230.00
Reading: ,0.00, grams calibration_factor: ,2230.00
Reading: ,0.00, grams calibration_factor: ,2230.00
Reading: ,0.00, grams calibration_factor: ,2230.00
Reading: ,0.00, grams calibration_factor: ,2230.00
Reading: ,0.00, grams calibration_factor: ,2230.00
Reading: ,0.00, grams calibration_factor: ,2230.00
Reading: ,0.00, grams calibration_factor: ,2230.00
Reading: ,0.00, grams calibration_factor: ,2230.00
Reading: ,0.00, grams calibration_factor: ,2230.00
Reading: ,0.00, grams calibration_factor: ,2230.00
Reading: ,0.00, grams calibration_factor: ,2230.00
Reading: ,0.00, grams calibration_factor: ,2230.00
Reading: ,0.00, grams calibration_factor: ,2230.00
Reading: ,0.00, grams calibration_factor: ,2230.00
Reading: ,0.00, grams calibration_factor: ,2230.00
Reading: ,0.00, grams calibration_factor: ,2230.00
Reading: ,0.00, grams calibration_factor: ,2230.00
Reading: ,0.00, grams calibration_factor: ,2230.00
Reading: ,0.00, grams calibration_factor: ,2230.00
Reading: ,0.00, grams calibration_factor: ,2230.00
Reading: ,0.00, grams calibration_factor: ,2230.00
Reading: ,0.00, grams calibration_factor: ,2230.00
Reading: ,0.00, grams calibration_factor: ,2230.00
Reading: ,0.00, grams calibration_factor: ,2230.00
Reading: ,0.00, grams calibration_factor: ,2230.00
Reading: ,0.00, grams calibration_factor: ,2230.00
Reading: ,0.00, grams calibration_factor: ,2230.00
Reading: ,0.00, grams calibration_factor: ,2230.00
Reading: ,0.00, grams calibration_factor: ,2230.00
Reading: ,0.00, grams calibration_factor: ,2230.00
Reading: ,0.00, grams calibration_factor: ,2230.00
Reading: ,0.00, grams calibration_factor: ,2230.00
Reading: ,0.00, grams calibration_factor: ,2230.00
Reading: ,0.00, grams calibration_factor: ,2230.00
Reading: ,0.00, grams calibration_factor: ,2230.00
Reading: ,0.00, grams calibration_factor: ,2230.00
Reading: ,0.00, grams calibration_factor: ,2230.00
Reading: ,0.00, grams calibration_factor: ,2230.00
Reading: ,0.00, grams calibration_factor: ,2230.00
Reading: ,0.00, grams calibration_factor: ,2230.00
Reading: ,0.00, grams calibration_factor: ,2230.00
Reading: ,0.00, grams calibration_factor: ,2230.00
Reading: ,0.00, grams calibration_factor: ,2230.00
Reading: ,0.00, grams calibration_factor: ,2230.00
Reading: ,0.00, grams calibration_factor: ,2230.00
Reading: ,0.00, grams calibration_factor: ,2230.00
Reading: ,0.00, grams calibration_factor: ,2230.00
Reading: ,0.00, grams calibration_factor: ,2230.00
Reading: ,0.00, grams calibration_factor: ,2230.00
Reading: ,0.00, grams calibration_factor: ,2230.00
Reading: ,0.00, grams calibration_factor: ,2230.00
Reading: ,0.00, grams calibration_factor: ,2230.00
Reading: ,0.00, grams calibration_factor: ,2230.00
Reading: ,0.00, grams calibration_factor: ,2230.00
Reading: ,0.00, grams calibration_factor: ,2230.00
Reading: ,0.00, grams calibration_factor: ,2230.00
Reading: ,0.00, grams calibration_factor: ,2230.00
Reading: ,0.00, grams calibration_factor: ,2230.00
Reading: ,0.00, grams calibration_factor: ,2230.00
Reading: ,0.00, grams calibration_factor: ,2230.00
Reading: ,0.00, grams calibration_factor: ,2230.00
Reading: ,0.00, grams calibration_factor: ,2230.00
Reading: ,0.00, grams calibration_factor: ,2230.00
Reading: ,0.00, grams calibration_factor: ,2230.00
Reading: ,0.00, grams calibration_factor: ,2230.00
Reading: ,0.00, grams calibration_factor: ,2230.00
Reading: ,0.00, grams calibration_factor: ,2230.00
Reading: ,0.00, grams calibration_factor: ,2230.00
Reading: ,0.00, grams calibration_factor: ,2230.00
Reading: ,0.00, grams calibration_factor: ,2230.00
Reading: ,0.00, grams calibration_factor: ,2230.00
Reading: ,0.00, grams calibration_factor: ,2230.00
Reading: ,0.00, grams calibration_factor: ,2230.00
Reading: ,0.00, grams calibration_factor: ,2230.00
