HX711 calibration sketch
Remove all weight from scale
After readings begin, place known weight on scale
Press + or a to increase calibration factor
Press - or z to decrease calibration factor
Zero factor: 0
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
22.04,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
0.00,2230.00
